ra,dec,redshift,brightness,LR,N(0.5),total_N,gal_id,cluster_id
150.12732918,2.62247681,0.52,-22.8,29.74,9,20,870905.0,680.0
150.29962546,1.67715711,0.5231,-22.89,29.79,21,26,261108.0,0.0
150.5818166,2.1475663,0.5295,-23.03,29.83,9,14,557354.0,1213.0
150.13238084,1.85399517,0.53,-23.4,29.98,14,26,369820.0,444.0
150.21038747,1.81648749,0.5305,-22.46,29.59,19,34,348419.0,271.0
149.61569325,1.90030724,0.5339,-21.79,29.71,8,13,401748.0,81.0
150.46449749,2.05995909,0.5417,-23.52,30.03,21,30,497616.0,256.0
150.53063222,2.17138294,0.55,-22.73,29.71,11,19,572670.0,887.0
149.52361555,1.75897202,0.5609,-23.43,29.99,17,33,309192.0,417.0
150.72936734,1.99521755,0.5616,-21.19,29.09,9,17,460318.0,1301.0
149.81346813,1.74704842,0.5692,-21.75,29.5,8,15,304477.0,1556.0
150.6043536,2.18688346,0.5708,-22.15,29.77,10,17,585061.0,899.0
149.47845141,1.89535765,0.5786,-22.36,29.96,8,21,398779.0,1525.0
150.15653218,2.39313537,0.59,-22.4,29.56,9,19,723916.0,1465.0
149.61938099,1.73543421,0.59,-23.16,29.88,11,21,292852.0,661.0
149.74937339,1.90120678,0.5901,-22.35,29.66,8,20,402777.0,919.0
149.70023392,2.34511351,0.5921,-20.71,28.95,9,15,691537.0,1537.0
150.11951408,2.32214807,0.5993,-22.58,29.65,9,13,675914.0,160.0
149.6266063,1.90726563,0.6014,-22.19,30.02,8,19,406527.0,1515.0
150.14453806,2.49168761,0.6016,-21.57,29.45,9,15,786404.0,1427.0
149.92439343,2.53932898,0.6023,-21.69,29.6,9,16,818419.0,1126.0
150.72857653,2.62485712,0.6067,-22.73,29.71,10,16,874444.0,1403.0
150.49067257,2.74789994,0.6067,-22.69,29.69,15,28,953345.0,399.0
150.15669462,2.52842273,0.6069,-21.55,29.51,8,12,810961.0,1532.0
150.72873594,2.53821329,0.6089,-22.21,29.81,10,16,818020.0,599.0
150.72247888,2.76688485,0.6095,-21.94,29.7,10,18,965086.0,612.0
150.56773412,2.61361566,0.61,-23.58,30.15,12,36,868440.0,338.0
150.58555222,2.47395421,0.6104,-22.59,29.66,15,37,776141.0,7.0
150.32183681,2.55230002,0.6116,-22.84,29.98,11,22,827881.0,71.0
150.64772399,2.72774745,0.6143,-22.63,30.09,12,28,941406.0,619.0
150.34929608,2.75350512,0.6292,-20.74,29.24,8,12,955565.0,1892.0
